project,file,loc,nclones,nsequences,maxseqlen
awesome,testdir/awesome/lib\naughty.lua,7,0,0,0
awesome,testdir/awesome/lib\naughty\action.lua,146,17,17,6
awesome,testdir/awesome/lib\naughty\constants.lua,113,258,60,10
awesome,testdir/awesome/lib\naughty\container\background.lua,104,66,28,7
awesome,testdir/awesome/lib\naughty\container\init.lua,9,0,0,0
awesome,testdir/awesome/lib\naughty\core.lua,822,903,98,12
awesome,testdir/awesome/lib\naughty\dbus.lua,574,1696,116,12
awesome,testdir/awesome/lib\naughty\init.lua,92,47,25,9
awesome,testdir/awesome/lib\naughty\layout\box.lua,374,370,15,11
awesome,testdir/awesome/lib\naughty\layout\init.lua,10,1,0,0
awesome,testdir/awesome/lib\naughty\layout\legacy.lua,598,2365,545,12
awesome,testdir/awesome/lib\naughty\list\actions.lua,352,416,22,7
awesome,testdir/awesome/lib\naughty\list\init.lua,10,1,0,0
awesome,testdir/awesome/lib\naughty\list\notifications.lua,376,332,43,10
awesome,testdir/awesome/lib\naughty\notification.lua,1050,2543,9,8
awesome,testdir/awesome/lib\naughty\widget\_default.lua,85,22,6,7
awesome,testdir/awesome/lib\naughty\widget\_markup.lua,62,44,2,3
awesome,testdir/awesome/lib\naughty\widget\icon.lua,178,109,9,4
awesome,testdir/awesome/lib\naughty\widget\init.lua,11,3,0,0
awesome,testdir/awesome/lib\naughty\widget\message.lua,83,47,2,3
awesome,testdir/awesome/lib\naughty\widget\title.lua,84,47,2,3
awesome,testdir/awesome/lib\ruled\init.lua,4,1,0,0
awesome,testdir/awesome/lib\ruled\notification.lua,242,61,20,7
awesome,testdir/awesome/lib\wibox\container\arcchart.lua,366,318,19,5
awesome,testdir/awesome/lib\wibox\container\background.lua,493,2480,250,12
awesome,testdir/awesome/lib\wibox\container\constraint.lua,185,193,41,10
awesome,testdir/awesome/lib\wibox\container\init.lua,22,17,7,8
awesome,testdir/awesome/lib\wibox\container\margin.lua,247,934,57,8
awesome,testdir/awesome/lib\wibox\container\mirror.lua,138,134,31,7
awesome,testdir/awesome/lib\wibox\container\radialprogressbar.lua,290,281,35,7
awesome,testdir/awesome/lib\wibox\container\rotate.lua,158,90,16,6
awesome,testdir/awesome/lib\wibox\drawable.lua,525,1778,182,12
awesome,testdir/awesome/lib\wibox\hierarchy.lua,380,643,135,10
awesome,testdir/awesome/lib\wibox\init.lua,449,1144,316,12
awesome,testdir/awesome/lib\wibox\layout\align.lua,329,1632,50,10
awesome,testdir/awesome/lib\wibox\layout\constraint.lua,17,1,0,0
awesome,testdir/awesome/lib\wibox\layout\fixed.lua,390,908,22,6
awesome,testdir/awesome/lib\wibox\layout\flex.lua,217,323,33,8
awesome,testdir/awesome/lib\wibox\layout\grid.lua,970,10252,330,12
awesome,testdir/awesome/lib\wibox\layout\init.lua,25,23,10,11
awesome,testdir/awesome/lib\wibox\layout\manual.lua,252,272,4,3
awesome,testdir/awesome/lib\wibox\layout\margin.lua,17,1,0,0
awesome,testdir/awesome/lib\wibox\layout\mirror.lua,17,1,0,0
awesome,testdir/awesome/lib\wibox\layout\ratio.lua,533,1379,47,10
awesome,testdir/awesome/lib\wibox\layout\rotate.lua,17,1,0,0
awesome,testdir/awesome/lib\wibox\layout\scroll.lua,16,1,0,0
awesome,testdir/awesome/lib\wibox\layout\stack.lua,218,247,54,11
awesome,testdir/awesome/lib\wibox\widget\background.lua,16,1,0,0
awesome,testdir/awesome/lib\wibox\widget\calendar.lua,379,522,137,10
awesome,testdir/awesome/lib\wibox\widget\checkbox.lua,312,136,14,5
awesome,testdir/awesome/lib\wibox\widget\graph.lua,394,916,89,10
awesome,testdir/awesome/lib\wibox\widget\imagebox.lua,299,631,29,8
awesome,testdir/awesome/lib\wibox\widget\init.lua,79,36,11,12
awesome,testdir/awesome/lib\wibox\widget\piechart.lua,268,281,24,6
awesome,testdir/awesome/lib\wibox\widget\progressbar.lua,529,605,187,12
awesome,testdir/awesome/lib\wibox\widget\separator.lua,223,75,5,4
awesome,testdir/awesome/lib\wibox\widget\slider.lua,547,524,150,12
awesome,testdir/awesome/lib\wibox\widget\systray.lua,233,125,85,12
awesome,testdir/awesome/lib\wibox\widget\textbox.lua,382,877,42,9
awesome,testdir/awesome/lib\wibox\widget\textclock.lua,135,204,44,11
