project,file,loc,nclones,nsequences,maxseqlen
koreader,koreader/frontend\document\documentregistry.lua,243,177,0,0
koreader,koreader/frontend\dump.lua,81,50,0,0
koreader,koreader/frontend\httpclient.lua,37,0,0,0
koreader,koreader/frontend\logger.lua,96,10,0,0
koreader,koreader/frontend\luadata.lua,171,60,0,0
koreader,koreader/frontend\luasettings.lua,294,406,0,0
koreader,koreader/frontend\optmath.lua,105,16,0,0
koreader,koreader/frontend\persist.lua,150,58,0,0
koreader,koreader/frontend\pluginloader.lua,199,28,0,0
koreader,koreader/frontend\pluginshare.lua,5,0,0,0
koreader,koreader/frontend\random.lua,34,14,0,0
koreader,koreader/frontend\readcollection.lua,158,66,0,0
koreader,koreader/frontend\readhistory.lua,304,294,0,0
koreader,koreader/frontend\socketutil.lua,141,17,0,0
koreader,koreader/frontend\ui\bidi.lua,286,81,0,0
koreader,koreader/frontend\ui\cloudmgr.lua,29,0,0,0
koreader,koreader/frontend\ui\data\creoptions.lua,613,402,0,0
koreader,koreader/frontend\ui\data\css_tweaks.lua,867,468,0,0
koreader,koreader/frontend\ui\data\dictionaries.lua,1184,5496,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\bg_keyboard.lua,75,6,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\el_keyboard.lua,129,21,4,3
koreader,koreader/frontend\ui\data\keyboardlayouts\en_keyboard.lua,127,21,4,3
koreader,koreader/frontend\ui\data\keyboardlayouts\es_keyboard.lua,15,0,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\fa_keyboard.lua,86,10,3,4
koreader,koreader/frontend\ui\data\keyboardlayouts\he_keyboard.lua,96,9,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\ka_keyboard.lua,93,21,4,3
koreader,koreader/frontend\ui\data\keyboardlayouts\keypopup\ar_AA_popup.lua,162,0,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\keypopup\el_popup.lua,267,14,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\keypopup\en_popup.lua,514,38,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\keypopup\he_popup.lua,119,0,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\keypopup\ka_popup.lua,74,0,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\keypopup\ro_popup.lua,46,0,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\keypopup\ru_popup.lua,99,0,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\ko_KR_helper.lua,441,524,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\pl_keyboard.lua,51,168,0,0
koreader,koreader/frontend\ui\data\keyboardlayouts\ro_keyboard.lua,86,21,4,3
koreader,koreader/frontend\ui\data\keyboardlayouts\ru_keyboard.lua,112,33,6,3
koreader,koreader/frontend\ui\data\optionsutil.lua,146,53,0,0
koreader,koreader/frontend\ui\data\settings_migration.lua,55,5,0,0
koreader,koreader/frontend\ui\downloadmgr.lua,64,0,0,0
koreader,koreader/frontend\ui\elements\avoid_flashing_ui.lua,12,0,0,0
koreader,koreader/frontend\ui\elements\common_info_menu_table.lua,91,10,0,0
koreader,koreader/frontend\ui\elements\common_settings_menu_table.lua,724,122,0,0
koreader,koreader/frontend\ui\elements\file_ext_assoc.lua,77,17,0,0
koreader,koreader/frontend\ui\elements\filemanager_menu_order.lua,177,0,0,0
koreader,koreader/frontend\ui\elements\flash_keyboard.lua,12,1,0,0
koreader,koreader/frontend\ui\elements\flash_ui.lua,11,0,0,0
koreader,koreader/frontend\ui\elements\font_settings.lua,89,5,0,0
koreader,koreader/frontend\ui\elements\mass_storage.lua,75,2,0,0
koreader,koreader/frontend\ui\elements\menu_activate.lua,70,3,0,0
koreader,koreader/frontend\ui\elements\menu_keyboard_layout.lua,32,4,0,0
koreader,koreader/frontend\ui\elements\reader_menu_order.lua,223,0,0,0
koreader,koreader/frontend\ui\elements\refresh_menu_table.lua,123,26,0,0
koreader,koreader/frontend\ui\elements\screen_android.lua,188,79,0,0
koreader,koreader/frontend\ui\elements\screen_color_menu_table.lua,19,0,0,0
