project,file,loc,nclones,nsequences,maxseqlen
awesomeWM,awesome/lib\naughty\container\background.lua,104,66,27,7
awesomeWM,awesome/lib\naughty\container\init.lua,9,0,0,0
awesomeWM,awesome/lib\naughty\core.lua,822,906,104,15
awesomeWM,awesome/lib\naughty\dbus.lua,574,1751,134,17
awesomeWM,awesome/lib\naughty\init.lua,92,48,27,9
awesomeWM,awesome/lib\naughty\layout\box.lua,374,373,15,11
awesomeWM,awesome/lib\naughty\layout\init.lua,10,1,0,0
awesomeWM,awesome/lib\naughty\layout\legacy.lua,598,2378,1249,49
awesomeWM,awesome/lib\naughty\list\actions.lua,352,416,21,7
awesomeWM,awesome/lib\naughty\list\init.lua,10,1,0,0
awesomeWM,awesome/lib\naughty\list\notifications.lua,376,333,42,10
awesomeWM,awesome/lib\naughty\notification.lua,1050,2558,9,8
awesomeWM,awesome/lib\naughty\widget\_default.lua,85,27,6,7
awesomeWM,awesome/lib\naughty\widget\_markup.lua,62,44,2,3
awesomeWM,awesome/lib\naughty\widget\icon.lua,178,116,8,4
awesomeWM,awesome/lib\naughty\widget\init.lua,11,3,0,0
awesomeWM,awesome/lib\naughty\widget\message.lua,83,47,2,3
awesomeWM,awesome/lib\naughty\widget\title.lua,84,47,2,3
awesomeWM,awesome/lib\ruled\init.lua,4,1,0,0
awesomeWM,awesome/lib\ruled\notification.lua,242,61,20,7
awesomeWM,awesome/lib\wibox\container\arcchart.lua,366,370,19,5
awesomeWM,awesome/lib\wibox\container\background.lua,493,2492,322,24
awesomeWM,awesome/lib\wibox\container\constraint.lua,185,193,42,10
awesomeWM,awesome/lib\wibox\container\init.lua,22,17,7,8
awesomeWM,awesome/lib\wibox\container\margin.lua,247,934,60,8
awesomeWM,awesome/lib\wibox\container\mirror.lua,138,134,32,7
awesomeWM,awesome/lib\wibox\container\radialprogressbar.lua,290,297,34,7
awesomeWM,awesome/lib\wibox\container\rotate.lua,158,98,15,6
awesomeWM,awesome/lib\wibox\drawable.lua,525,1768,187,15
awesomeWM,awesome/lib\wibox\hierarchy.lua,380,678,135,10
awesomeWM,awesome/lib\wibox\init.lua,449,1144,437,24
awesomeWM,awesome/lib\wibox\layout\align.lua,329,1697,50,10
awesomeWM,awesome/lib\wibox\layout\constraint.lua,17,1,0,0
awesomeWM,awesome/lib\wibox\layout\fixed.lua,390,916,22,6
awesomeWM,awesome/lib\wibox\layout\flex.lua,217,325,31,8
awesomeWM,awesome/lib\wibox\layout\grid.lua,970,10407,365,19
awesomeWM,awesome/lib\wibox\layout\init.lua,25,23,10,11
awesomeWM,awesome/lib\wibox\layout\manual.lua,252,272,4,3
awesomeWM,awesome/lib\wibox\layout\margin.lua,17,1,0,0
awesomeWM,awesome/lib\wibox\layout\mirror.lua,17,1,0,0
awesomeWM,awesome/lib\wibox\layout\ratio.lua,533,1449,53,10
awesomeWM,awesome/lib\wibox\layout\rotate.lua,17,1,0,0
awesomeWM,awesome/lib\wibox\layout\scroll.lua,16,1,0,0
awesomeWM,awesome/lib\wibox\layout\stack.lua,218,247,54,11
awesomeWM,awesome/lib\wibox\widget\background.lua,16,1,0,0
awesomeWM,awesome/lib\wibox\widget\calendar.lua,379,532,137,10
awesomeWM,awesome/lib\wibox\widget\checkbox.lua,312,173,14,5
awesomeWM,awesome/lib\wibox\widget\graph.lua,394,959,92,10
awesomeWM,awesome/lib\wibox\widget\imagebox.lua,299,632,28,8
awesomeWM,awesome/lib\wibox\widget\init.lua,79,36,11,12
awesomeWM,awesome/lib\wibox\widget\piechart.lua,268,320,30,6
awesomeWM,awesome/lib\wibox\widget\progressbar.lua,529,826,213,18
awesomeWM,awesome/lib\wibox\widget\separator.lua,223,92,5,4
awesomeWM,awesome/lib\wibox\widget\slider.lua,547,598,152,14
awesomeWM,awesome/lib\wibox\widget\systray.lua,233,126,87,14
awesomeWM,awesome/lib\wibox\widget\textbox.lua,382,888,41,9
awesomeWM,awesome/lib\wibox\widget\textclock.lua,135,204,54,11
